date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:42:47	1057/1057	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Dec%202021%2010:42:45%20GMT	https://mattfarley.ca/robots.txt		(from )
11:42:47	23776/23776	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Dec%202021%2010:42:45%20GMT	https://mattfarley.ca/	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/index.html	(from )
11:42:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Dec%202021%2010:42:46%20GMT	http://mattfarley.ca/img/og_thumbnail.png	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/og_thumbnail.0.delayed	(from https://mattfarley.ca/)
11:42:48	4093/4093	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Dec%202021%2010:42:46%20GMT	https://mattfarley.ca/img/og_thumbnail.png	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/og_thumbnail.png	(from https://mattfarley.ca/)
11:42:48	924/924	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Dec%202021%2010:42:46%20GMT	https://mattfarley.ca/img/favicon-32.png	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/favicon-32.png	(from https://mattfarley.ca/)
11:42:48	252536/252536	---MCZ	200	added ('OK')	text/css	date:Mon,%2027%20Dec%202021%2010:42:46%20GMT	https://mattfarley.ca/css/main.css	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/css/main.css	(from https://mattfarley.ca/)
11:42:49	3465/3465	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Dec%202021%2010:01:47%20GMT	https://assets.calendly.com/assets/external/widget.css	C:/Mes%20Sites%20Web/Portfolio/assets.calendly.com/assets/external/widget.css	(from https://mattfarley.ca/)
11:42:49	11080/11080	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2027%20Dec%202021%2010:42:47%20GMT	https://kit.fontawesome.com/9bdc906322.js	C:/Mes%20Sites%20Web/Portfolio/kit.fontawesome.com/9bdc906322.js	(from https://mattfarley.ca/)
11:42:49	1709/1709	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2027%20Dec%202021%2010:42:47%20GMT	https://mattfarley.ca/img/mf-logo.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/mf-logo.svg	(from https://mattfarley.ca/)
11:42:50	22591/22591	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Dec%202021%2010:42:48%20GMT	https://mattfarley.ca/mentorship.html	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/mentorship.html	(from https://mattfarley.ca/)
11:42:55	5494/5494	---MC-	504	error ('Gateway%20Time-out')	text/html	date:Mon,%2027%20Dec%202021%2010:42:53%20GMT	https://mattfarley.ca/contact	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/contact	(from https://mattfarley.ca/)
11:42:55	5455/5455	---MC-	504	error ('Gateway%20Time-out')	text/html	date:Mon,%2027%20Dec%202021%2010:42:53%20GMT	https://mattfarley.ca/img/mf-avatar.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/mf-avatar.svg	(from https://mattfarley.ca/)
11:42:55	21478/21478	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2027%20Dec%202021%2010:42:53%20GMT	https://mattfarley.ca/img/hero.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/hero.svg	(from https://mattfarley.ca/)
11:42:56	3087/3087	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2027%20Dec%202021%2010:42:53%20GMT	https://mattfarley.ca/img/icons/designer.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/icons/designer.svg	(from https://mattfarley.ca/)
11:42:56	3946/3946	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2027%20Dec%202021%2010:42:54%20GMT	https://mattfarley.ca/img/icons/frontend.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/icons/frontend.svg	(from https://mattfarley.ca/)
11:42:56	1394/1394	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2027%20Dec%202021%2010:42:54%20GMT	https://mattfarley.ca/img/icons/mentor.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/icons/mentor.svg	(from https://mattfarley.ca/)
11:42:56	4232/4232	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Dec%202021%2010:42:54%20GMT	https://mattfarley.ca/cdn-cgi/l/email-protection	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/cdn-cgi/l/email-protection.html	(from https://mattfarley.ca/)
11:43:02	5455/5455	---MC-	504	error ('Gateway%20Time-out')	text/html	date:Mon,%2027%20Dec%202021%2010:43:00%20GMT	https://mattfarley.ca/img/projects/wfdesignbuild.png	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/projects/wfdesignbuild.png	(from https://mattfarley.ca/)
